id,title,overview,genres,release_date,vote_average,vote_count,popularity,original_language
1062722,Frankenstein,"Dr. Victor Frankenstein, a brilliant but egotistical scientist, brings a creature to life in a monstrous experiment that ultimately leads to the undoing of both the creator and his tragic creation.","['Drama', 'Fantasy', 'Horror']",2025-10-17,7.651,3182,46.7827,en
1511417,Bāhubali: The Epic,"When a mysterious child is found by a tribal couple near a roaring waterfall, they raise him as their own. As he grows, Sivudu is drawn to the world beyond the cliffs, where he discovers the ancient kingdom of Mahishmati, ruled by a cruel tyrant, haunted by rebellion, and bound to his past. What begins as a quest for love soon unravels a legacy of betrayal, sacrifice, and a forgotten prince.","['Action', 'Drama']",2025-10-29,6.0,33,50.2765,te
11431,Fever Pitch,"When Ben Wrightman, a young teacher, begins dating pretty businesswoman Lindsey Meeks, the two don't seem to have a lot of the same interests, but they fall in love, regardless. Their romance goes well until baseball season begins, and Lindsey soon realizes that Ben is completely obsessed with the Boston Red Sox. Though she tries to understand Ben's passionate team loyalty, eventually it threatens to end their otherwise happy relationship.","['Romance', 'Comedy']",2005-04-06,6.2,750,41.412,en
1362514,House on Eden,"Paranormal investigators Kris, Celina and their videographer Jay are rerouted to an abandoned house deep in the woods, where they find themselves facing a force unlike anything they've encountered before. As the night spirals into chaos, missing crew members and eerie phenomena hint at an ancient, malevolent presence watching their every move.",['Horror'],2025-07-25,4.763,40,43.9105,en
14262,Desperate Living,"After killing her husband, Peggy Gravel and her murderous maid Grizelda wind up in the crazy town of Mortville, where Queen Carlotta presides over a sleazy collection of misfits.","['Comedy', 'Crime']",1977-05-27,6.4,114,40.9873,en
1246049,Dracula,"In late 15th-century Eastern Europe, Prince Vlad II’s bride is brutally murdered. As a result, he renounces God and damns Heaven itself. Cursed with eternal life, Vlad is reborn as Dracula, an immortal warlord who defies fate in a blood-soaked crusade to wrench his lost love back from death.","['Horror', 'Fantasy', 'Romance']",2025-07-30,7.093,976,50.1972,fr
590965,Drag Racer,"Jeff is sick of losing weekend grudge matches with his Dodge Challenger and longs for the chance to drive a top fuel dragster. When a top racing team cans their driver, Jeff sees an opportunity to make his dreams come true. IF he can prove that he has what it takes to be a real driver.","['Action', 'Drama']",1972-08-04,0.0,0,31.6238,en
1110034,Kraken,"Marine biologist Johanne is doing research on a fish farm in Vangsnes, a rural community located by the fjord, when she encounters several strange occurrences. Along with the brutal deaths of two local teenagers, all signs point to the deep fjord; can there be more to the depths than the eye can see? At the bottom of the deepest fjord rests a mythical monster as large as a mountain, with a myriad of arms ready to crush and devour anything they can grab.","['Horror', 'Action', 'Thriller']",2026-02-06,6.2,8,50.4469,no
225278,Run,"A backpacker on the run from home writes a letter home, but there may be more to him than appears.","['Drama', 'Horror']",2012-10-18,5.333,6,46.7902,en
749343,The Catcher,An ex-cop and a Harvard graduate team up to become bounty hunters.,"['Crime', 'Drama', 'TV Movie']",1972-06-02,6.0,1,39.9522,en
1401778,Turbulence,"Young married couple Zach and Emmy decide to take a hot air balloon trip across the Italian Dolomites to rekindle their relationship. When they and pilot Harry are joined by a third passenger, Julia, events unfold in ways they could never imagine five thousand meters in the air.","['Thriller', 'Action', 'Adventure', 'Drama', 'Fantasy']",2025-11-26,5.994,79,46.8637,en
1516744,Shall we Dance?,"Hailey Hartz was born to a normal family, led a normal college-student life and now works at a normal job. This normal guy created a normal family and thus has the kind of good fortune that anyone would be envious of. Nothing is unsatisfactory about his life, we would expect. But even so, Hailey believes something to change his day-to-day routine awaits him at some point down the line. One day, on his daily commute, he looks up from a train station platform to discover a ballroom dance studio. As he stares at a beautiful woman standing in the studio's window, a vague notion comes to him: What if he were to muster up a bit of courage and march right toward the door? Would his fortunes see a massive change? Piqued by this thought, and after much inner debate, Hailey sets foot inside the dance studio.",[],2014-02-09,0.0,0,39.4054,ja
502356,The Super Mario Bros. Movie,"While working underground to fix a water main, Brooklyn plumbers—and brothers—Mario and Luigi are transported down a mysterious pipe and wander into a magical new world. But when the brothers are separated, Mario embarks on an epic quest to find Luigi.","['Family', 'Comedy', 'Adventure', 'Animation', 'Fantasy']",2023-04-05,7.6,10349,50.6437,en
1266127,Ready or Not: Here I Come,"Moments after surviving an all-out attack from the Le Domas family, Grace discovers she’s reached the next level of the nightmarish game — and this time with her estranged sister Faith at her side. Grace has one chance to survive, keep her sister alive, and claim the High Seat of the Council that controls the world. Four rival families are hunting her for the throne, and whoever wins rules it all.","['Horror', 'Comedy']",2026-03-19,7.313,32,54.472,en
1241470,Osiris,"Special Forces commandos on a mission are abducted mid-operation by a mysterious spacecraft. Upon waking aboard, they find themselves prey to a relentless alien race in a fight for survival.","['Science Fiction', 'Action', 'Horror']",2025-07-25,5.917,211,49.8869,en
384530,Cipher Bureau,The younger brother of an officer in a secret government code-breaking unit gets involved with a gang of spies and a beautiful double agent.,['Drama'],1938-10-25,4.4,5,35.755,en
54979,Robinson Crusoe,"The titular adventurer, after defying his parents to go to sea, survives a shipwreck and becomes a castaway on a deserted island for nearly thirty years, learning to build a new life from scratch, discovering companionship with a native man he names Friday, and eventually returning to civilisation a changed man, finding wealth and new challenges.","['Adventure', 'Drama']",1954-08-05,6.339,93,39.0089,en
1367642,Reminders of Him,"When Diem's custodial grandparents adamantly refuse Kenna's attempts to see her daughter, Kenna discovers unexpected compassion, and then something truer and deeper, with former NFL player and local bar owner Ledger. As their secret romance develops, so do the dangers for both of them, leading Kenna toward heartbreak and, ultimately, the hope for a second chance.","['Romance', 'Drama']",2026-03-11,7.0,57,40.9798,en
